-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,-0.00,-0.00,-0.00
-0.00,-0.00,0.18,-0.00,-0.00
-0.00,-0.00,8.64,3.60,0.86
-0.00,-0.00,4.80,1.52,0.03
-0.00,-0.00,10.17,2.79,1.45
-0.00,-0.00,17.93,10.36,7.01
-0.00,-0.00,18.78,9.24,4.71
0.70,0.70,18.30,9.47,6.91
1.01,1.01,21.61,12.62,8.93
1.29,1.29,24.05,17.42,14.19
4.67,4.67,21.78,18.57,11.85
5.71,5.71,24.77,17.73,14.93
8.30,8.30,23.14,16.67,14.70
7.35,7.35,25.72,16.51,16.85
9.29,9.29,30.95,21.93,19.10
10.54,10.54,24.55,17.37,17.63
11.71,11.71,32.84,22.90,20.30
11.47,11.47,35.52,25.97,23.64
12.21,12.21,24.21,19.48,20.57
14.19,14.19,32.14,21.72,20.90
16.64,16.64,38.59,30.11,27.39
13.24,13.24,36.34,28.87,27.84
17.64,17.64,33.40,25.65,24.64
17.43,17.43,30.86,24.99,24.70
19.23,19.23,31.59,26.00,25.12
18.49,18.49,37.87,28.03,26.24
18.28,18.28,37.41,30.04,28.22
20.77,20.77,35.34,29.27,30.41
21.82,21.82,41.22,32.54,30.63
22.45,22.45,39.11,28.35,27.38
21.87,21.87,43.94,36.51,33.71
22.89,22.89,36.84,31.63,29.82
26.57,26.57,36.61,32.54,30.47
25.45,25.45,39.96,32.92,32.26
24.25,24.25,37.53,27.71,34.06
23.76,23.76,41.99,36.15,33.67
26.34,26.34,40.74,33.71,30.11
24.22,24.22,42.65,35.15,34.00
24.44,24.44,44.00,38.21,36.81
22.37,22.37,40.64,36.58,31.90
24.24,24.24,44.68,37.39,36.46
26.47,26.47,42.53,39.41,35.21
28.75,28.75,47.04,40.66,39.96
28.77,28.77,47.08,40.45,39.60
28.56,28.56,45.70,42.16,39.02
28.72,28.72,45.90,43.57,41.00
28.54,28.54,41.13,39.13,37.75
28.64,28.64,45.43,41.99,38.54
29.38,29.38,47.94,41.44,43.17
29.44,29.44,45.01,42.93,40.26
32.61,32.61,47.18,44.82,42.99
33.13,33.13,47.00,43.59,40.15
33.78,33.78,51.63,48.70,44.11
31.47,31.47,44.88,43.56,40.81
32.63,32.63,43.13,41.66,44.48
32.88,32.88,45.26,39.30,46.18
35.80,35.80,46.87,46.22,47.66
34.08,34.08,50.39,46.82,46.50
33.23,33.23,46.43,46.01,44.49
36.64,36.64,44.55,45.55,45.45
36.76,36.76,49.15,46.66,47.73
35.98,35.98,43.06,46.02,47.34
37.40,37.40,40.54,47.40,49.12
37.80,37.80,38.69,46.20,48.79
33.51,33.51,40.12,57.59,53.75
33.48,33.48,39.30,55.29,52.51
36.83,36.83,37.33,49.82,49.60
39.09,39.09,39.84,50.38,52.17
37.39,37.39,37.12,45.86,51.07
35.17,35.17,38.46,51.84,50.01
37.83,37.83,41.72,55.72,57.55
35.96,35.96,39.39,53.20,53.78
37.30,37.30,37.26,59.63,59.44
38.72,38.72,38.45,56.21,56.90
37.32,37.32,35.11,47.11,54.47
36.76,36.76,36.81,45.07,55.68
36.20,36.20,37.36,54.19,58.88
36.11,36.11,38.23,53.40,55.06
37.01,37.01,35.87,59.28,58.51
35.78,35.78,37.57,55.76,55.76
37.17,37.17,37.31,55.57,58.43
36.49,36.49,37.98,57.50,58.62
35.39,35.39,36.70,58.02,57.57
36.71,36.71,35.83,53.89,58.54
36.72,36.72,36.01,57.73,61.31
35.54,35.54,36.99,49.38,56.30
35.99,35.99,37.01,45.29,58.37
35.17,35.17,36.46,52.15,59.33
33.59,33.59,35.67,57.66,61.79
33.53,33.53,35.76,54.29,61.19
32.05,32.05,34.70,55.94,62.61
34.51,34.51,36.09,51.31,63.19
36.09,36.09,35.23,51.90,63.87
37.47,37.47,34.62,52.90,63.67
35.19,35.19,33.27,54.30,63.69
30.70,30.70,31.50,51.75,62.02
32.46,32.46,34.41,49.08,60.86
28.94,28.94,32.35,50.92,64.41
29.23,29.23,32.88,47.72,62.58
30.04,30.04,32.22,44.63,61.25
32.36,32.36,31.64,50.00,61.90
36.79,36.79,31.96,46.17,62.29
32.59,32.59,31.07,44.22,62.58
30.00,30.00,32.64,47.81,64.12
29.16,29.16,31.82,37.77,60.96
29.20,29.20,32.07,37.82,61.89
34.11,34.11,33.35,32.91,67.04
34.05,34.05,33.95,42.01,66.55
32.39,32.39,33.99,35.56,63.92
30.54,30.54,31.61,34.41,65.05
30.66,30.66,30.88,36.49,66.25
30.13,30.13,30.89,43.61,67.42
29.29,29.29,30.10,42.10,67.53
31.53,31.53,30.19,45.40,67.39
32.15,32.15,29.11,47.01,66.29
32.85,32.85,29.42,38.50,65.36
32.73,32.73,29.01,35.81,65.69
